gvkey,permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER,cusip
147183,12840,2022-12-31,2023-09-30,2023-11-30,-3.935,1.406,-2.848,-58.125,-58.125,-20.217,-20.217,63.480,-4.983,,-22.668,-21.633,-25.458,-21.633,-21.247,-17.547,-0.174,-0.348,-0.328,,-0.348,-0.256,-0.348,-0.834,-0.344,-0.183,0.871,0.081,0.122,0.085,0.391,0.259,0.267,0.000,0.166,0.076,-0.416,0.337,0.743,0.118,-0.577,-0.340,-0.277,,1.446,0.093,0.428,0.133,0.788,-8.729,-10.927,0.359,1.074,1.074,2430.81,,0.008,0.149,26.656,0.014,0.016,0.121,7.395,0.000,0.000,-0.082,0.825,,,LODE,20575030
147183,12840,2022-12-31,2023-09-30,2023-12-31,-4.667,1.406,-2.848,-68.500,-68.500,-23.826,-23.826,75.278,-5.909,,-22.668,-21.633,-25.458,-21.633,-21.247,-17.547,-0.174,-0.348,-0.328,,-0.348,-0.256,-0.348,-0.834,-0.344,-0.183,0.871,0.081,0.122,0.085,0.391,0.259,0.267,0.000,0.166,0.076,-0.416,0.337,0.743,0.118,-0.577,-0.340,-0.277,,1.446,0.093,0.428,0.133,0.788,-8.729,-10.927,0.359,1.074,1.074,2430.81,,0.008,0.149,26.656,0.014,0.016,0.121,7.395,0.000,0.000,-0.082,0.979,,,LODE,20575030
147183,12840,2022-12-31,2023-09-30,2024-01-31,-3.975,1.406,-2.848,-58.350,-58.350,-20.296,-20.296,64.124,-5.034,,-22.668,-21.633,-25.458,-21.633,-21.247,-17.547,-0.174,-0.348,-0.328,,-0.348,-0.256,-0.348,-0.834,-0.344,-0.183,0.871,0.081,0.122,0.085,0.391,0.259,0.267,0.000,0.166,0.076,-0.416,0.337,0.743,0.118,-0.577,-0.340,-0.277,,1.446,0.093,0.428,0.133,0.788,-8.729,-10.927,0.359,1.074,1.074,2430.81,,0.008,0.149,26.656,0.014,0.016,0.121,7.395,0.000,0.000,-0.082,0.834,,,LODE,20575030
147183,12840,2023-12-31,2023-12-31,2024-02-29,-4.902,1.239,-4.345,4.726,4.726,4.726,4.726,38.665,-3.615,0.000,7.192,-13.385,-15.628,-13.385,8.262,10.207,-0.165,0.139,-0.263,0.000,0.139,0.193,0.139,-0.584,-0.347,-0.160,0.934,0.066,0.130,0.066,0.272,0.167,0.805,0.000,,0.103,-0.641,0.491,0.526,0.197,-1.149,-0.918,-0.483,,0.890,0.071,0.265,0.135,0.360,6.563,-12.089,1.529,1.562,1.562,,,0.012,,17.896,0.015,0.016,0.153,4.801,0.000,0.000,0.221,0.629,,,LODE,20575030
147183,12840,2023-12-31,2023-12-31,2024-03-31,-4.377,1.239,-4.345,4.042,4.042,4.042,4.042,34.524,-3.228,0.000,7.192,-13.385,-15.628,-13.385,8.262,10.207,-0.165,0.139,-0.263,0.000,0.139,0.193,0.139,-0.584,-0.347,-0.160,0.934,0.066,0.130,0.066,0.272,0.167,0.805,0.000,,0.103,-0.641,0.491,0.526,0.197,-1.149,-0.918,-0.483,,0.890,0.071,0.265,0.135,0.360,6.563,-12.089,1.529,1.562,1.562,,,0.012,,17.896,0.015,0.016,0.153,4.801,0.000,0.000,0.221,0.562,,,LODE,20575030
147183,12840,2023-12-31,2023-12-31,2024-04-30,-3.818,1.239,-4.345,3.083,3.083,3.083,3.083,30.112,-2.816,0.000,7.192,-13.385,-15.628,-13.385,8.262,10.207,-0.165,0.139,-0.263,0.000,0.139,0.193,0.139,-0.584,-0.347,-0.160,0.934,0.066,0.130,0.066,0.272,0.167,0.805,0.000,,0.103,-0.641,0.491,0.526,0.197,-1.149,-0.918,-0.483,,0.890,0.071,0.265,0.135,0.360,6.563,-12.089,1.529,1.562,1.562,,,0.012,,17.896,0.015,0.016,0.153,4.801,0.000,0.000,0.221,0.490,,,LODE,20575030
147183,12840,2023-12-31,2024-03-31,2024-05-31,-2.863,1.655,-4.070,35.714,35.714,35.714,35.714,20.708,-2.540,0.000,4.751,-9.833,-11.565,-9.833,5.566,7.286,-0.160,0.130,-0.278,0.000,0.130,0.163,0.130,-0.547,-0.305,-0.160,0.897,0.081,0.125,0.082,0.309,0.200,0.564,0.000,0.144,0.090,-0.565,0.354,0.622,0.174,-0.766,-0.635,-0.483,,1.124,0.090,0.335,0.133,0.517,5.284,-10.428,0.906,1.368,1.368,903.377,,0.016,0.395,18.230,0.022,0.025,0.293,3.440,0.000,0.000,0.209,0.468,,,LODE,20575030
147183,12840,2023-12-31,2024-03-31,2024-06-30,-1.878,1.655,-4.070,23.429,23.429,23.429,23.429,13.584,-1.666,0.000,4.751,-9.833,-11.565,-9.833,5.566,7.286,-0.160,0.130,-0.278,0.000,0.130,0.163,0.130,-0.547,-0.305,-0.160,0.897,0.081,0.125,0.082,0.309,0.200,0.564,0.000,0.144,0.090,-0.565,0.354,0.622,0.174,-0.766,-0.635,-0.483,,1.124,0.090,0.335,0.133,0.517,5.284,-10.428,0.906,1.368,1.368,903.377,,0.016,0.395,18.230,0.022,0.025,0.293,3.440,0.000,0.000,0.209,0.307,,,LODE,20575030
147183,12840,2023-12-31,2024-03-31,2024-07-31,-2.131,1.655,-4.070,22.086,22.086,22.086,22.086,15.413,-1.890,0.000,4.751,-9.833,-11.565,-9.833,5.566,7.286,-0.160,0.130,-0.278,0.000,0.130,0.163,0.130,-0.547,-0.305,-0.160,0.897,0.081,0.125,0.082,0.309,0.200,0.564,0.000,0.144,0.090,-0.565,0.354,0.622,0.174,-0.766,-0.635,-0.483,,1.124,0.090,0.335,0.133,0.517,5.284,-10.428,0.906,1.368,1.368,903.377,,0.016,0.395,18.230,0.022,0.025,0.293,3.440,0.000,0.000,0.209,0.348,,,LODE,20575030
147183,12840,2023-12-31,2024-06-30,2024-08-31,-3.977,2.894,-3.438,32.350,32.350,43.133,43.133,21.925,-3.550,0.000,2.303,-7.774,-9.152,-7.774,2.968,4.598,-0.157,0.071,-0.249,0.000,0.071,0.113,0.071,-0.492,-0.316,-0.157,0.899,0.088,0.125,0.089,0.314,0.222,0.736,0.000,0.129,0.099,-0.631,0.291,0.481,0.254,-1.179,-0.937,-0.483,,0.978,0.098,0.276,0.135,0.387,3.111,-8.390,1.530,1.914,1.914,566.990,,0.020,0.615,13.884,0.025,0.028,0.166,3.154,0.000,0.000,0.170,0.606,,,LODE,20575030
