sample_set,policy,specification,var,coef,pval,t,nobs,unique_tickers,coef_p22,pval_p22,t_p22,coef_diff_p23_minus_p22,pval_diff_p23_minus_p22
main_plus_edge,LCFS,single_mechanism,compliance_expo_it,-10.42212526235005,0.598179600612275,-0.5270201428870289,3006,35,-0.3299405737906759,0.7463245520788145,-0.3234895081153956,-10.092184688559374,-0.1481449514665395
main_plus_edge,LCFS,single_mechanism,credit_market_expo_it,-36.87111452238323,0.7503978017016899,-0.3181148736286401,3006,35,-0.2992045089736828,0.912785158905007,-0.1095261789056076,-36.57191001340955,-0.1623873572033171
main_plus_edge,LCFS,single_mechanism,demand_pull_expo_it,-73.25875203798586,0.12964753352753583,-1.5154932693792509,3006,35,-3.011288896601153,0.1447001455937241,-1.4585095469327731,-70.2474631413847,-0.01505261206618827
main_plus_edge,LCFS,joint_mechanism,subsidy_expo_it,2278.3400493320996,0.3918738748340552,0.8562240271498345,3006,35,-23.896259397167697,0.8694637946966193,-0.1643396183778805,2302.2363087292674,-0.47758991986256405
main_plus_edge,LCFS,joint_mechanism,compliance_expo_it,5.66522742131718,0.79519663665701,0.25956850045158425,3006,35,0.2008952452247595,0.8444871661201963,0.1961571495828977,5.46433217609242,-0.04929052946318624
main_plus_edge,LCFS,joint_mechanism,credit_market_expo_it,-16.256583415418746,0.8872251284002234,-0.1418162750136122,3006,35,-0.1701681253875508,0.9498335467101852,-0.0629158081375699,-16.086415290031194,-0.06260841830996178
main_plus_edge,LCFS,joint_mechanism,demand_pull_expo_it,-70.72506938497003,0.12542117559614702,-1.532410469221356,3006,35,-3.1760188770098945,0.1183388498712276,-1.5617841375436536,-67.54905050796013,0.007082325724919417
main_plus_edge,RFS2,baseline,ExpoQuick_it,-0.05195422025186032,0.9115586288716784,-0.11107278592293685,2975,35,-0.0519542202518603,0.9115586288716784,-0.1110727859229368,-2.0816681711721685e-17,0.0
main_plus_edge,RFS2,single_mechanism,subsidy_expo_it,0.0,,,2975,35,1722.4106766021955,0.0476017321575411,1.9809067483956957,-1722.4106766021955,
main_plus_edge,RFS2,single_mechanism,compliance_expo_it,0.0,,,2975,35,-18.659826828846388,0.1310016759282897,-1.510163632395379,18.659826828846388,
main_plus_edge,RFS2,single_mechanism,credit_market_expo_it,0.0,,,2975,35,2.0729804745423186,0.3730998899213091,0.8906818213325431,-2.0729804745423186,
main_plus_edge,RFS2,single_mechanism,demand_pull_expo_it,0.0,,,2975,35,-0.2158742098624421,0.9875092812356326,-0.015655433894297,0.2158742098624421,
main_plus_edge,RFS2,joint_mechanism,subsidy_expo_it,0.0,,,2975,35,1487.5855249126178,0.1303314563407314,1.512796113552631,-1487.5855249126178,
main_plus_edge,RFS2,joint_mechanism,compliance_expo_it,-1.5008160297097459e-15,0.021955958069771447,-2.2911289266775707,2975,35,-19.0223174684106,0.1263279725861847,-1.52874378748609,19.0223174684106,-0.10437201451641324
main_plus_edge,RFS2,joint_mechanism,credit_market_expo_it,3.731187115845642e-15,0.06563967558111934,1.8408763862178548,2975,35,0.4182874077314125,0.8536315422565278,0.1844868500354953,-0.41828740773140877,-0.7879918666754084
main_plus_edge,RFS2,joint_mechanism,demand_pull_expo_it,5.174475432127773e-16,0.28682536299153805,1.065111749285854,2975,35,9.620283464064098,0.2148404436244895,1.2403649374083652,-9.620283464064098,0.07198491936704854
